date gender count
2020/03/26 Female 282
2020/03/26 Male 298
2020/03/27 Female 382
2020/03/27 Male 392
2020/03/28 Female 487
2020/03/28 Male 505
2020/03/29 Female 634
2020/03/29 Male 605
2020/03/30 Female 716
2020/03/30 Male 697
2020/03/31 Female 856
2020/03/31 Male 804
2020/04/01 Female 1016
2020/04/01 Male 969
2020/04/02 Female 1194
2020/04/02 Male 1137
2020/04/03 Female 1435
2020/04/03 Male 1323
2020/04/04 Female 1640
2020/04/04 Male 1485
2020/04/05 Female 1915
2020/04/05 Male 1694
2020/04/06 Female 2155
2020/04/06 Male 1890
2020/04/07 Female 2329
2020/04/07 Male 2042
2020/04/08 Female 2955
2020/04/08 Male 2574
2020/04/09 Female 3320
2020/04/09 Male 2865
2020/04/10 Female 3753
2020/04/10 Male 3215
2020/04/11 Female 4140
2020/04/11 Male 3554
2020/04/12 Female 4438
2020/04/12 Male 3787
2020/04/13 Female 4831
2020/04/13 Male 4105
2020/04/14 Female 5132
2020/04/14 Male 4340
2020/04/15 Female 5439
2020/04/15 Male 4593
2020/04/16 Female 5817
2020/04/16 Male 4967
2020/04/17 Female 6249
2020/04/17 Male 5323
2020/04/18 Female 6652
2020/04/18 Male 5656
2020/04/19 Female 6923
2020/04/19 Male 5907
2020/04/20 Female 7374
2020/04/20 Male 6310
2020/04/21 Female 7623
2020/04/21 Male 6570
2020/04/22 Female 7954
2020/04/22 Male 6821
2020/04/22 Female 7954
2020/04/22 Male 6821
2020/04/23 Female 8447
2020/04/23 Male 7290
2020/04/24 Female 8874
2020/04/24 Male 7742
2020/04/25 Female 9498
2020/04/25 Male 8268
2020/04/26 Female 9963
2020/04/26 Male 8618
2020/04/27 Female 10460
2020/04/27 Male 9027
2020/04/28 Female 10750
2020/04/28 Male 9363
2020/04/29 Female 11130
2020/04/29 Male 9719
2020/04/30 Female 11595
2020/04/30 Male 10147
2020/05/01 Female 12500
2020/05/01 Male 10972
2020/05/02 Female 13005
2020/05/02 Male 11468
2020/05/03 Female 13493
2020/05/03 Male 11969
2020/05/04 Female 13936
2020/05/04 Male 12472
2020/05/05 Female 14316
2020/05/05 Male 12801
2020/05/06 Female 14848
2020/05/06 Male 13315
2020/05/07 Female 15472
2020/05/07 Male 13902
2020/05/08 Female 16038
2020/05/08 Male 14447
2020/05/09 Female 16560
2020/05/09 Male 14974
2020/05/10 Female 17101
2020/05/10 Male 15486
2020/05/11 Female 17505
2020/05/11 Male 15868
2020/05/12 Female 17852
2020/05/12 Male 16209
2020/05/13 Female 18212
2020/05/13 Male 16600
