date aa asian white hispanic other
2020/4/9 2064 122 1540 0 449
2020/4/10 2304 136 1694 0 544
2020/4/11 2599 153 1883 0 643
2020/4/12 2988 177 2145 0 806
2020/4/13 3202 190 2305 0 861
2020/4/14 3512 211 2547 0 961
2020/4/15 3724 230 2425 1075 357
2020/4/16 3978 239 2535 1180 376
2020/4/17 4301 252 2681 1357 429
2020/4/18 4557 266 2869 1489 458
2020/4/19 4855 276 3037 1639 505
2020/4/20 5064 284 3156 1744 519
2020/4/21 5322 296 3327 1916 552
2020/4/22 5540 304 3476 2033 571
2020/4/23 5800 322 3662 2130 588
2020/4/24 6048 339 3830 2373 616
2020/4/25 6314 344 4020 2574 657
2020/4/26 6742 363 4276 2841 707
2020/4/27 7085 384 4498 3077 752
2020/4/28 7432 424 4708 3309 721
2020/4/29 7615 434 4808 3473 747
2020/4/30 7821 459 4935 3651 793
2020/5/1 8093 475 5147 3884 840
2020/5/2 8470 502 5385 4258 876
2020/5/3 8871 530 5698 4625 989
2020/5/4 9147 547 5873 4892 1040
2020/5/5 9424 565 6129 5144 937
2020/5/6 9648 580 6280 5394 986
2020/5/7 9892 603 6368 5726 1032
2020/5/8 10165 631 6695 6067 1107
2020/5/9 10337 647 6796 6337 1151
2020/5/10 10623 664 7018 6686 1187
2020/5/11 10927 691 7260 7057 1387
2020/5/12 11110 700 7365 7274 1433
2020/5/13 11140 689 7367 7483 1703
