date zipcode count
2020/04/12 21215 137
2020/04/12 20904 132
2020/04/12 20906 126
2020/04/12 20902 125
2020/04/12 20744 122
2020/04/12 20706 120
2020/04/12 20772 115
2020/04/12 20774 113
2020/04/12 21234 109
2020/04/12 20747 108
2020/04/12 20735 103
2020/04/12 21771 101
2020/04/12 20785 98
2020/04/12 20783 97
2020/04/12 21133 97
2020/04/12 20743 91
2020/04/12 21206 89
2020/04/12 21208 89
2020/04/12 21703 88
2020/04/12 21117 87
2020/04/12 20910 84
2020/04/12 21224 84
2020/04/12 21701 83
2020/04/12 20748 82
2020/04/12 21702 80
2020/04/13 20601 38
2020/04/13 20602 48
2020/04/13 20603 68
2020/04/13 20607 23
2020/04/13 20613 40
2020/04/13 20622 10
2020/04/13 20623 11
2020/04/13 20637 10
2020/04/13 20639 22
2020/04/13 20640 11
2020/04/13 20646 26
2020/04/13 20650 9
2020/04/13 20653 23
2020/04/13 20657 14
2020/04/13 20659 23
2020/04/13 20678 18
2020/04/13 20695 18
2020/04/13 20705 81
2020/04/13 20706 143
2020/04/13 20707 60
2020/04/13 20708 47
2020/04/13 20710 23
2020/04/13 20711 9
2020/04/13 20712 20
2020/04/13 20714 8
2020/04/13 20715 46
2020/04/13 20716 46
2020/04/13 20720 53
2020/04/13 20721 85
2020/04/13 20722 18
2020/04/13 20723 62
2020/04/13 20724 39
2020/04/13 20732 12
2020/04/13 20735 112
2020/04/13 20736 9
2020/04/13 20737 49
2020/04/13 20740 35
2020/04/13 20743 97
2020/04/13 20744 132
2020/04/13 20745 70
2020/04/13 20746 69
2020/04/13 20747 115
2020/04/13 20748 88
2020/04/13 20754 9
2020/04/13 20769 20
2020/04/13 20770 46
2020/04/13 20772 124
2020/04/13 20774 120
2020/04/13 20781 31
2020/04/13 20782 83
2020/04/13 20783 102
2020/04/13 20784 85
2020/04/13 20785 103
2020/04/13 20794 42
2020/04/13 20814 53
2020/04/13 20815 50
2020/04/13 20816 20
2020/04/13 20817 50
2020/04/13 20832 24
2020/04/13 20841 17
2020/04/13 20850 44
2020/04/13 20851 17
2020/04/13 20852 66
2020/04/13 20853 54
2020/04/13 20854 68
2020/04/13 20855 18
2020/04/13 20866 26
2020/04/13 20871 20
2020/04/13 20872 11
2020/04/13 20874 74
2020/04/13 20876 45
2020/04/13 20877 61
2020/04/13 20878 58
2020/04/13 20879 35
2020/04/13 20882 18
2020/04/13 20886 45
2020/04/13 20895 31
2020/04/13 20901 81
2020/04/13 20902 135
2020/04/13 20903 56
2020/04/13 20904 137
2020/04/13 20905 21
2020/04/13 20906 134
2020/04/13 20910 92
2020/04/13 20912 44
2020/04/13 21009 14
2020/04/13 21012 39
2020/04/13 21014 17
2020/04/13 21015 23
2020/04/13 21029 11
2020/04/13 21030 32
2020/04/13 21032 15
2020/04/13 21037 24
2020/04/13 21040 30
2020/04/13 21042 26
2020/04/13 21043 47
2020/04/13 21044 58
2020/04/13 21045 58
2020/04/13 21046 20
2020/04/13 21050 13
2020/04/13 21054 29
2020/04/13 21060 43
2020/04/13 21061 54
2020/04/13 21074 9
2020/04/13 21075 46
2020/04/13 21076 38
2020/04/13 21085 12
2020/04/13 21090 17
2020/04/13 21093 41
2020/04/13 21104 9
2020/04/13 21108 20
2020/04/13 21113 24
2020/04/13 21114 34
2020/04/13 21117 93
2020/04/13 21122 61
2020/04/13 21128 16
2020/04/13 21131 8
2020/04/13 21133 101
2020/04/13 21136 37
2020/04/13 21144 33
2020/04/13 21146 28
2020/04/13 21157 42
2020/04/13 21158 40
2020/04/13 21201 18
2020/04/13 21202 35
2020/04/13 21204 20
2020/04/13 21205 19
2020/04/13 21206 96
2020/04/13 21207 76
2020/04/13 21208 106
2020/04/13 21209 64
2020/04/13 21210 8
2020/04/13 21211 14
2020/04/13 21212 26
2020/04/13 21213 48
2020/04/13 21214 43
2020/04/13 21215 153
2020/04/13 21216 40
2020/04/13 21217 39
2020/04/13 21218 71
2020/04/13 21219 9
2020/04/13 21220 41
2020/04/13 21221 39
2020/04/13 21222 61
2020/04/13 21223 24
2020/04/13 21224 90
2020/04/13 21225 45
2020/04/13 21227 40
2020/04/13 21228 52
2020/04/13 21229 65
2020/04/13 21230 41
2020/04/13 21231 30
2020/04/13 21234 118
2020/04/13 21236 46
2020/04/13 21237 45
2020/04/13 21239 66
2020/04/13 21244 76
2020/04/13 21286 28
2020/04/13 21401 52
2020/04/13 21403 29
2020/04/13 21409 16
2020/04/13 21502 11
2020/04/13 21601 12
2020/04/13 21620 9
2020/04/13 21632 9
2020/04/13 21701 95
2020/04/13 21702 87
2020/04/13 21703 106
2020/04/13 21704 26
2020/04/13 21740 43
2020/04/13 21742 22
2020/04/13 21770 8
2020/04/13 21771 103
2020/04/13 21774 20
2020/04/13 21784 28
2020/04/13 21788 10
2020/04/13 21793 8
2020/04/13 21797 14
2020/04/13 21801 19
2020/04/13 21804 19
2020/04/13 21811 10
2020/04/13 21911 21
2020/04/13 21921 38
2020/04/14 20601 41
2020/04/14 20602 51
2020/04/14 20603 75
2020/04/14 20607 23
2020/04/14 20613 43
2020/04/14 20622 9
2020/04/14 20623 12
2020/04/14 20634 8
2020/04/14 20637 10
2020/04/14 20639 23
2020/04/14 20640 11
2020/04/14 20646 30
2020/04/14 20650 10
2020/04/14 20653 23
2020/04/14 20657 15
2020/04/14 20659 23
2020/04/14 20678 21
2020/04/14 20695 19
2020/04/14 20705 86
2020/04/14 20706 153
2020/04/14 20707 67
2020/04/14 20708 51
2020/04/14 20710 28
2020/04/14 20711 10
2020/04/14 20712 21
